ID,Type,Org ID,Email,Password,Date Created
ed52ab53-174d-4241-b539-372fa994ed14,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
2e539ffe-3a58-4e90-98bd-516bc176ecc6,External Partner,ORG001,ratepartner@external.com,password123,Mon Dec 01 18:08:41 EST 2025
ee7ef715-4d92-4a42-aa83-6ae77a8a08c5,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
5ba8a8a9-a1ca-44a1-a20e-2568e37e88cf,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
efb52155-8b6a-4f66-b891-4c75421ecca7,Student,12345678,checkinuser@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
52a8a31d-a148-40de-bca7-9233640255b7,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
8e8a0dd8-86fa-459b-8dcd-083bdc055b7b,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
cf3ec30a-5399-4c8a-bc52-137505394826,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
f29929a2-8d08-43eb-91c8-a936a6d0803e,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
9f4dabdf-9865-4483-9258-4caa512df7a8,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
bfcb6d44-8652-4867-a485-41ff9c708c72,Chief Event Coordinator,-,chief@gmail.com,Chief1234$,Mon Dec 01 18:08:41 EST 2025
527ea68d-75f9-499f-b7fb-d54b29ff5b87,Student,10101010,update1@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
b6a4e4c6-8ade-42f2-b24c-e97abefe4b22,Student,20202020,update2@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
3e2fdd5f-53de-466b-8b37-707a49fd9217,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
5d5aa413-7fbc-42fe-bbe4-f7ca4d2dc9f9,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
26e731b1-8c83-45dc-adfa-dd1f3919aaab,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
f049b8cf-204a-4724-aa55-d8b57e95fbca,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
8198d757-f539-4ad9-8696-af679f024938,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
d7c9f246-ceec-4b0d-b956-8deab7cdb9f6,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
f26a9ef6-20d5-4f11-b6d7-85752bbeb32c,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
49274581-aa79-4825-ac9f-259472dd7bb1,Student,12345678,loginuser@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
ba5e7649-1b51-4113-a4ef-a42f8f775660,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
3556de7d-88dc-489f-8663-5d403bba7b4b,Student,12345678,test@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
093b6c34-7855-4a86-97d9-18e8dae9339e,Student,12345678,idgen@yorku.ca,password123,Mon Dec 01 18:08:41 EST 2025
